Location,MaxTemp,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,Humidity3pm,Pressure3pm,RainToday,RainTomorrow
2,22.9,13,44.0,13,14,22.0,1007.1,0,0
2,25.1,14,44.0,6,15,25.0,1007.8,0,0
2,32.3,13,41.0,1,7,33.0,1006.0,0,0
2,29.7,14,56.0,13,13,23.0,1005.4,0,0
2,26.7,13,35.0,10,13,19.0,1010.1,0,0
2,30.1,13,28.0,8,10,27.0,1005.7,1,0
2,30.4,3,30.0,10,2,22.0,1008.7,0,1
2,21.7,5,31.0,4,1,91.0,1004.2,1,1
2,21.0,12,44.0,13,11,43.0,1001.8,1,0
2,20.9,1,22.0,11,0,82.0,1010.4,0,1
2,22.9,13,63.0,3,14,65.0,1002.2,1,1
2,22.5,10,43.0,15,12,32.0,1009.7,1,0
2,25.6,10,26.0,9,6,26.0,1017.1,0,0
2,33.0,4,43.0,4,3,28.0,1008.1,0,0
2,31.8,14,41.0,13,13,24.0,1005.7,0,0
2,30.9,3,33.0,2,7,23.0,1008.2,0,0
2,32.4,13,43.0,0,13,17.0,1010.1,0,0
2,33.0,15,57.0,3,13,28.0,1003.6,0,0
2,32.7,14,48.0,3,14,15.0,1001.7,0,0
2,27.2,14,46.0,7,15,22.0,1004.2,0,1
2,24.2,14,50.0,15,12,70.0,1003.4,1,0
2,23.9,13,41.0,15,11,22.0,1013.1,0,0
2,28.8,10,26.0,10,0,22.0,1014.8,0,0
2,34.6,14,37.0,10,7,12.0,1010.3,0,0
2,38.9,13,57.0,0,13,12.0,1002.7,0,0
2,28.3,13,48.0,13,15,15.0,1010.9,0,0
2,28.4,4,37.0,10,8,16.0,1013.7,0,0
2,30.8,4,37.0,5,0,24.0,1008.1,0,0
2,34.7,12,35.0,9,15,16.0,1012.1,0,0
2,37.7,6,35.0,9,7,19.0,1010.9,0,0
2,32.7,14,44.0,13,13,28.0,1009.2,0,0
2,26.7,12,56.0,15,12,20.0,1012.7,0,0
2,32.2,14,28.0,1,11,17.0,1016.2,0,0
2,39.9,6,61.0,10,14,21.0,1004.8,0,0
2,35.2,14,52.0,8,7,28.0,1003.9,1,0
2,30.6,13,54.0,13,13,21.0,1007.6,0,0
2,34.3,15,24.0,2,10,10.0,1014.6,0,0
2,38.4,8,33.0,10,15,12.0,1014.6,0,0
2,41.5,12,24.0,2,8,13.0,1011.8,0,0
2,42.7,2,48.0,2,12,11.0,1010.5,0,0
2,43.1,12,68.5,9,0,9.0,1008.7,0,0
2,38.3,12,56.0,4,7,21.0,1007.4,0,0
2,36.9,13,39.0,3,9,26.0,1004.7,0,0
2,42.2,13,37.0,9,13,8.0,1005.0,0,0
2,43.65,6,59.0,9,7,11.0,1003.8,0,0
2,40.2,7,52.0,3,13,19.0,1006.5,0,0
2,27.3,10,41.0,10,9,30.0,1008.5,0,0
2,26.7,10,46.0,10,0,24.0,1011.1,0,0
2,29.0,10,41.0,9,10,21.0,1019.7,1,0
2,29.2,4,39.0,8,9,18.0,1016.4,0,0
2,31.1,0,35.0,9,2,22.0,1013.8,0,0
2,32.0,7,31.0,1,12,22.0,1007.5,0,0
2,34.0,15,48.0,9,15,16.0,1004.5,0,0
2,29.1,11,41.0,6,10,39.0,1010.8,0,0
2,31.7,10,28.0,10,8,19.0,1010.4,0,0
2,33.2,7,31.0,8,14,23.0,1012.4,0,0
2,34.0,7,68.5,9,7,10.0,1009.2,0,0
2,29.6,14,46.0,12,14,14.0,1012.7,0,0
2,32.7,2,26.0,2,8,19.0,1015.0,0,0
2,32.6,13,24.0,3,8,25.0,1012.6,0,0
2,30.3,13,30.0,13,15,27.0,1008.7,0,0
2,31.9,6,35.0,8,1,25.0,1011.6,0,0
2,31.1,14,52.0,4,5,35.0,1009.0,0,0
2,22.0,12,50.0,15,13,33.0,1011.8,0,0
2,24.0,15,30.0,3,14,23.0,1012.0,0,0
2,27.9,13,37.0,8,13,22.0,1012.4,0,0
2,30.2,10,24.0,0,10,20.0,1014.7,0,0
2,31.8,5,24.0,10,4,28.0,1015.9,0,0
2,30.5,4,44.0,4,3,23.0,1018.0,1,0
2,25.7,13,37.0,1,8,90.0,1018.9,0,1
2,25.8,1,31.0,3,8,68.0,1014.7,1,1
2,27.0,12,68.5,0,3,74.0,1008.0,1,1
2,21.9,13,39.0,8,14,34.0,1011.6,0,0
2,25.3,14,35.0,10,15,34.0,1013.2,0,0
2,28.0,7,52.0,10,7,19.0,1013.9,0,0
2,30.1,15,24.0,8,12,15.0,1013.6,0,0
2,33.6,6,28.0,3,5,17.0,1013.1,0,0
2,30.0,4,37.0,0,5,30.0,1012.7,0,0
2,31.6,7,37.0,3,14,25.0,1011.8,0,0
2,22.3,1,30.0,10,10,78.0,1019.2,0,1
2,29.8,15,33.0,3,14,26.0,1017.2,1,0
2,27.6,14,43.0,3,13,30.0,1020.7,0,0
2,28.9,6,24.0,3,3,26.0,1020.6,0,0
2,31.2,8,22.0,3,9,18.0,1019.1,0,0
2,30.4,1,22.0,3,9,16.0,1019.5,0,0
2,29.9,15,26.0,8,11,25.0,1019.5,0,0
2,30.6,9,22.0,3,1,22.0,1019.4,0,0
2,28.1,13,68.5,0,5,49.0,1012.9,1,1
2,21.7,15,31.0,0,7,37.0,1016.5,0,0
2,21.4,13,35.0,10,15,20.0,1019.6,0,0
2,22.5,9,28.0,8,8,27.0,1023.5,0,0
2,24.0,10,17.0,10,10,30.0,1023.4,0,0
2,25.7,1,22.0,2,8,27.0,1019.6,0,0
2,26.7,13,48.0,9,4,42.0,1017.7,0,1
2,24.9,13,46.0,8,0,47.0,1020.3,1,1
2,25.4,5,19.0,1,11,35.0,1018.7,0,0
2,25.0,14,30.0,3,13,39.0,1011.6,0,0
